event_id,location_id,location_type,timestamp,congestion_score,processing_capacity,current_load,queue_length,average_processing_time,delay_minutes
CE00001,LOC062,Sort Facility,2024-03-20T21:30:19,0.51,3208,2442,0,30.0,0
CE00002,LOC059,Distribution Center,2026-01-03T17:42:26,1.0,4161,7008,2298,96.3,61
CE00003,LOC061,Airport,2026-03-25T16:50:28,1.0,2149,3679,863,78.2,64
CE00004,LOC073,Sort Facility,2026-03-19T07:31:55,0.63,3536,3365,0,30.0,0
CE00005,LOC056,Warehouse,2025-11-16T02:19:15,0.69,3011,3122,140,35.6,3
CE00006,LOC031,Hub,2025-05-07T08:21:20,1.0,4593,6863,2122,85.4,44
CE00007,LOC073,Sort Facility,2025-02-22T03:51:33,1.0,3536,5919,4472,181.8,60
CE00008,LOC003,Warehouse,2024-10-29T23:00:23,1.0,3544,5397,2023,98.5,47
CE00009,LOC073,Sort Facility,2026-06-12T14:38:27,0.75,3536,3957,561,49.0,10
CE00010,LOC060,Last Mile Facility,2025-03-31T06:15:59,0.45,723,491,0,30.0,0
CE00011,LOC064,Warehouse,2025-01-14T02:03:37,1.0,3291,5880,2829,133.2,70
CE00012,LOC033,Last Mile Facility,2025-05-25T14:14:47,0.36,4291,2298,0,30.0,0
CE00013,LOC056,Warehouse,2025-01-12T14:25:51,0.73,3011,3286,161,36.4,8
CE00014,LOC059,Distribution Center,2025-07-16T07:01:54,0.52,4161,3225,0,30.0,0
CE00015,LOC062,Sort Facility,2024-12-24T16:13:45,0.62,3208,2995,0,30.0,0
CE00016,LOC008,Airport,2025-12-09T02:14:42,1.0,1075,1728,414,76.2,54
CE00017,LOC031,Hub,2025-05-04T01:12:18,0.89,4593,6161,3086,110.6,30
CE00018,LOC037,Distribution Center,2024-06-28T07:03:16,1.0,2793,4666,1099,77.2,60
CE00019,LOC054,Port,2025-01-09T10:51:50,0.94,759,1065,391,91.8,36
CE00020,LOC032,Distribution Center,2025-11-22T07:04:53,0.42,1584,1009,0,30.0,0
CE00021,LOC067,Warehouse,2025-09-28T19:08:31,0.69,3061,3179,223,38.7,3
CE00022,LOC003,Warehouse,2025-07-16T03:54:27,1.0,3544,5340,1271,73.0,45
CE00023,LOC029,Port,2024-05-03T19:03:40,0.88,2831,3744,627,56.6,29
CE00024,LOC015,Last Mile Facility,2025-06-30T18:56:14,0.28,3252,1390,0,30.0,0
CE00025,LOC048,Sort Facility,2026-05-20T15:21:22,0.4,3574,2171,0,30.0,0
CE00026,LOC058,Hub,2026-02-24T11:45:14,1.0,4836,7829,3804,124.4,55
CE00027,LOC039,Warehouse,2024-04-28T18:01:48,0.5,1629,1210,0,30.0,0
CE00028,LOC023,Port,2025-07-16T19:24:39,0.73,2668,2913,470,51.1,8
CE00029,LOC008,Airport,2026-01-22T02:35:19,0.65,1075,1043,0,30.0,0
CE00030,LOC070,Distribution Center,2024-12-23T20:03:51,0.47,4087,2903,0,30.0,0
CE00031,LOC022,Hub,2025-11-28T10:44:27,0.72,479,517,32,38.0,7
CE00032,LOC064,Warehouse,2025-10-12T15:52:06,1.0,3291,5823,4210,183.5,69
CE00033,LOC051,Last Mile Facility,2024-12-22T22:11:48,0.8,2427,2929,485,54.0,18
CE00034,LOC029,Port,2026-06-03T10:37:03,0.86,2831,3651,516,51.9,26
CE00035,LOC035,Airport,2024-07-13T14:49:25,0.8,1822,2188,628,71.4,18
CE00036,LOC040,Distribution Center,2026-04-15T03:46:24,0.51,2337,1776,0,30.0,0
CE00037,LOC034,Port,2025-01-15T12:10:17,0.79,1778,2099,320,51.6,16
