shipment_id,tracking_number,origin_location_id,destination_location_id,current_location_id,route_id,status,priority,shipment_type,weight_kg,planned_delivery_time,current_eta,risk_score,risk_level,sla_breach_probability,expected_delay_minutes,last_updated
CURR00001,1ZYN2FSLD4XHD184RD,LOC058,LOC075,LOC029,RT-LOC058-LOC055-LOC008,DELAYED,Normal,Standard,110.95,2026-07-01T14:38:01.314613,2026-07-01T17:39:01.314613,5.06,HIGH,0.671,181,2026-07-01T00:00:00
CURR00002,1ZUU0Q9J4U43KMNAFU,LOC009,LOC059,LOC021,RT-LOC009-LOC010-LOC020,OUT_FOR_DELIVERY,Critical,Standard,14.71,2026-07-01T02:07:11.757240,2026-07-01T04:08:11.757240,5.11,HIGH,0.773,121,2026-07-01T00:00:00
CURR00003,1ZQY6G7FR033BJ44LF,LOC067,LOC041,LOC038,RT-LOC067-LOC065-LOC032,IN_TRANSIT,Low,Standard,10.03,2026-07-01T12:41:37.324735,2026-07-01T13:54:37.324735,3.36,MEDIUM,0.581,73,2026-07-01T00:00:00
CURR00004,1Z2MMDWIRN6Y00WIW8,LOC030,LOC016,LOC030,RT-LOC030-LOC016,PROCESSING,High,Temperature Sensitive,10.13,2026-06-30T13:31:13.104685,2026-06-30T14:35:13.104685,5.18,HIGH,0.672,64,2026-07-01T00:00:00
CURR00005,1ZWRRQTG7V17651FUQ,LOC038,LOC042,LOC042,RT-LOC038-LOC047-LOC042,IN_TRANSIT,Low,Standard,48.28,2026-06-30T18:14:45.993592,2026-06-30T19:17:45.993592,2.9,LOW,0.346,63,2026-07-01T00:00:00
CURR00006,1ZA051P9SKNHO7IQOB,LOC025,LOC003,LOC059,RT-LOC025-LOC027-LOC063,PROCESSING,Normal,Standard,24.98,2026-06-30T15:32:06.091603,2026-06-30T16:48:06.091603,3.86,MEDIUM,0.461,76,2026-07-01T00:00:00
CURR00007,1ZON9Y1JAS8KTOTGBP,LOC060,LOC055,LOC052,RT-LOC060-LOC059-LOC006,OUT_FOR_DELIVERY,Normal,Standard,45.18,2026-06-29T21:43:09.413495,2026-06-29T23:44:09.413495,4.23,MEDIUM,0.619,121,2026-07-01T00:00:00
CURR00008,1ZTYAT7XGXG7MQRHBB,LOC049,LOC064,LOC016,RT-LOC049-LOC050-LOC016,IN_TRANSIT,High,Temperature Sensitive,100.29,2026-06-30T11:39:19.656377,2026-06-30T14:18:19.656377,3.42,MEDIUM,0.525,159,2026-07-01T00:00:00
CURR00009,1ZSLRON1QBY88UH5SY,LOC016,LOC065,LOC067,RT-LOC016-LOC030-LOC067,OUT_FOR_DELIVERY,Normal,Standard,21.15,2026-06-30T02:38:33.397268,2026-06-30T04:08:33.397268,3.45,MEDIUM,0.502,90,2026-07-01T00:00:00
CURR00010,1ZFJ1K71U7UIR78D90,LOC001,LOC037,LOC016,RT-LOC001-LOC051-LOC028,IN_TRANSIT,Critical,Standard,5.23,2026-07-01T05:09:48.526340,2026-07-01T06:12:48.526340,4.05,MEDIUM,0.455,63,2026-07-01T00:00:00
CURR00011,1Z3JBNWAIWM7HOBAH1,LOC062,LOC037,LOC035,RT-LOC062-LOC066-LOC065,IN_TRANSIT,High,Standard,32.75,2026-06-30T12:32:56.517960,2026-06-30T13:07:56.517960,3.62,MEDIUM,0.438,35,2026-07-01T00:00:00
CURR00012,1ZKEDJ72MKMXW7BE5K,LOC027,LOC039,LOC037,RT-LOC027-LOC063-LOC066,OUT_FOR_DELIVERY,Normal,Standard,58.53,2026-07-01T07:25:55.552705,2026-07-01T08:08:55.552705,2.45,LOW,0.307,43,2026-07-01T00:00:00
CURR00013,1ZPUPUCH003CPCY2NP,LOC001,LOC058,LOC009,RT-LOC001-LOC007-LOC052,IN_TRANSIT,Low,International,51.55,2026-06-29T09:22:08.868665,2026-06-29T11:43:08.868665,3.42,MEDIUM,0.503,141,2026-07-01T00:00:00
CURR00014,1Z5CWZ000NKNUDDF55,LOC049,LOC051,LOC050,RT-LOC049-LOC050-LOC051,IN_TRANSIT,High,Standard,16.46,2026-06-30T17:58:15.690113,2026-06-30T20:26:15.690113,3.08,MEDIUM,0.614,148,2026-07-01T00:00:00
CURR00015,1ZNVMH5QM39O6ZESBA,LOC018,LOC041,LOC032,RT-LOC018-LOC062-LOC066,IN_TRANSIT,High,International,137.67,2026-06-30T20:38:31.098382,2026-06-30T22:45:31.098382,2.9,LOW,0.464,127,2026-07-01T00:00:00
CURR00016,1ZMPL0UG47I2KG08LG,LOC023,LOC067,LOC018,RT-LOC023-LOC019-LOC013,IN_TRANSIT,Low,Standard,49.15,2026-06-30T04:44:03.276100,2026-06-30T06:11:03.276100,2.95,LOW,0.456,87,2026-07-01T00:00:00
CURR00017,1ZF6OYDWLFC61JMQ2U,LOC074,LOC011,LOC018,RT-LOC074-LOC045-LOC015,IN_TRANSIT,High,Express,48.26,2026-06-30T11:14:22.163963,2026-06-30T12:16:22.163963,2.89,LOW,0.354,62,2026-07-01T00:00:00
CURR00018,1ZOUYS87ITT39528TT,LOC027,LOC057,LOC007,RT-LOC027-LOC063-LOC061,IN_TRANSIT,Normal,Express,20.8,2026-06-29T20:57:06.362722,2026-06-29T21:23:06.362722,3.43,MEDIUM,0.442,26,2026-07-01T00:00:00
CURR00019,1ZOZFDO5YTQE9K8YFI,LOC056,LOC070,LOC002,RT-LOC056-LOC054-LOC009,IN_TRANSIT,Normal,International,175.75,2026-06-30T05:29:30.655791,2026-06-30T06:51:30.655791,3.39,MEDIUM,0.413,82,2026-07-01T00:00:00
CURR00020,1ZWX33JSHKE13MCY7V,LOC029,LOC006,LOC007,RT-LOC029-LOC007-LOC006,IN_TRANSIT,High,Standard,48.88,2026-07-01T02:57:09.624271,2026-07-01T03:40:09.624271,2.82,LOW,0.374,43,2026-07-01T00:00:00
CURR00021,1ZLN1TAYZN84BQQBBL,LOC014,LOC021,LOC018,RT-LOC014-LOC032-LOC065,IN_TRANSIT,Normal,International,163.41,2026-07-01T11:26:51.691808,2026-07-01T13:36:51.691808,4.2,MEDIUM,0.529,130,2026-07-01T00:00:00
CURR00022,1ZZD89AZDO4M784QPJ,LOC004,LOC036,LOC018,RT-LOC004-LOC007-LOC006,OUT_FOR_DELIVERY,Normal,Temperature Sensitive,42.14,2026-06-30T17:48:29.224665,2026-06-30T19:23:29.224665,3.88,MEDIUM,0.45,95,2026-07-01T00:00:00
CURR00023,1ZN05MMCH3ZH7BG6PT,LOC027,LOC067,LOC063,RT-LOC027-LOC063-LOC062,IN_TRANSIT,Critical,Express,24.41,2026-06-29T08:48:03.968265,2026-06-29T10:29:03.968265,3.53,MEDIUM,0.508,101,2026-07-01T00:00:00
CURR00024,1ZQGODCTIU5UTANJC5,LOC059,LOC003,LOC006,RT-LOC059-LOC006-LOC003,PROCESSING,High,Standard,65.22,2026-06-29T19:34:03.196619,2026-06-29T20:38:03.196619,2.21,LOW,0.334,64,2026-07-01T00:00:00
CURR00025,1Z1ENIISJJF3MIRFVL,LOC005,LOC044,LOC028,RT-LOC005-LOC002-LOC029,PROCESSING,Low,Standard,5.24,2026-07-02T04:30:23.473282,2026-07-02T04:39:23.473282,3.18,MEDIUM,0.426,9,2026-07-01T00:00:00
CURR00026,1ZR0CBD4RLXP8WKWXD,LOC074,LOC057,LOC012,RT-LOC074-LOC045-LOC015,DELAYED,High,International,104.48,2026-07-01T09:02:41.289415,2026-07-01T09:52:41.289415,4.36,MEDIUM,0.595,50,2026-07-01T00:00:00
CURR00027,1ZKKY81UEUJ2DP2497,LOC039,LOC047,LOC039,RT-LOC039-LOC047,OUT_FOR_DELIVERY,Low,Standard,60.83,2026-06-29T04:59:07.761761,2026-06-29T06:22:07.761761,2.9,LOW,0.425,83,2026-07-01T00:00:00
CURR00028,1Z7RZQESA4LKE0F8L3,LOC041,LOC017,LOC038,RT-LOC041-LOC042-LOC047,IN_TRANSIT,High,Fragile,4.9,2026-07-01T19:49:10.247746,2026-07-01T21:33:10.247746,3.21,MEDIUM,0.399,104,2026-07-01T00:00:00
CURR00029,1ZTWXPPG5ZPH24VJN1,LOC024,LOC013,LOC024,RT-LOC024-LOC013,IN_TRANSIT,Low,Express,39.27,2026-06-29T12:35:30.627188,2026-06-29T13:42:30.627188,2.88,LOW,0.401,67,2026-07-01T00:00:00
CURR00030,1ZOL1BUU2OFR3ZCO1P,LOC015,LOC049,LOC069,RT-LOC015-LOC069-LOC070,IN_TRANSIT,Normal,Fragile,27.2,2026-06-29T10:11:09.765942,2026-06-29T11:59:09.765942,3.22,MEDIUM,0.512,108,2026-07-01T00:00:00
CURR00031,1ZWHBY0CHPXRDRK0DH,LOC047,LOC013,LOC012,RT-LOC047-LOC038-LOC045,IN_TRANSIT,High,Priority,74.05,2026-06-30T00:20:43.206228,2026-06-30T02:17:43.206228,4.22,MEDIUM,0.557,117,2026-07-01T00:00:00
CURR00032,1Z1M3LLN6XN7SWP3XR,LOC020,LOC026,LOC024,RT-LOC020-LOC023-LOC019,IN_TRANSIT,Low,Standard,142.82,2026-06-30T17:55:50.205650,2026-06-30T19:10:50.205650,3.7,MEDIUM,0.448,75,2026-07-01T00:00:00
CURR00033,1ZSKWE94B6EMO0EY1U,LOC060,LOC073,LOC016,RT-LOC060-LOC059-LOC005,IN_TRANSIT,Normal,Priority,32.88,2026-06-30T03:45:20.605457,2026-06-30T05:09:20.605457,4.42,MEDIUM,0.575,84,2026-07-01T00:00:00
CURR00034,1Z6V3SARH4FULKY793,LOC055,LOC030,LOC021,RT-LOC055-LOC008-LOC009,IN_TRANSIT,Critical,Standard,17.9,2026-06-30T23:14:51.200637,2026-07-01T03:21:51.200637,4.61,MEDIUM,0.791,247,2026-07-01T00:00:00
CURR00035,1ZFJG6Q78RKK8532I3,LOC043,LOC014,LOC069,RT-LOC043-LOC074-LOC045,IN_TRANSIT,Normal,Standard,15.41,2026-07-01T01:22:14.434353,2026-07-01T02:23:14.434353,2.67,LOW,0.315,61,2026-07-01T00:00:00
CURR00036,1ZR1A16RRU729CFSIU,LOC011,LOC024,LOC020,RT-LOC011-LOC056-LOC054,OUT_FOR_DELIVERY,High,Priority,116.73,2026-06-29T16:28:17.187558,2026-06-29T17:46:17.187558,4.2,MEDIUM,0.583,78,2026-07-01T00:00:00
