event_id,event_type,title,severity,location,latitude,longitude,start_time,end_time,affected_radius_km,impact_type,expected_delay_minutes,description
EE00001,Geopolitical Event,Trade restrictions imposed,MEDIUM,Wichita,37.2569,-97.7321,2025-02-09T00:39:34,2025-02-14T14:33:11.027491,286,Route Closure,152,Geopolitical Event near Wichita — severity MEDIUM. Expected delays of up to 152 minutes.
EE00002,Customs Delay,System outage at customs,HIGH,Fresno,36.4521,-120.5625,2024-05-03T15:57:43,2024-05-04T19:13:59.080222,116,Capacity Reduction,323,Customs Delay near Fresno — severity HIGH. Expected delays of up to 323 minutes.
EE00003,Security Event,Security inspection delays,MEDIUM,Richmond,37.2141,-77.5271,2025-05-24T08:16:38,2025-05-25T18:57:58.237079,177,Capacity Reduction,94,Security Event near Richmond — severity MEDIUM. Expected delays of up to 94 minutes.
EE00004,Infrastructure Failure,Power outage at facility,LOW,Detroit,41.7583,-82.9553,2024-10-16T21:01:08,2024-10-21T12:26:59.172080,62,Route Closure,32,Infrastructure Failure near Detroit — severity LOW. Expected delays of up to 32 minutes.
EE00005,Labor Strike,Port workers strike,MEDIUM,Birmingham,32.8043,-86.7231,2026-04-08T01:10:51,2026-04-08T14:40:33.428349,117,Inspection Required,110,Labor Strike near Birmingham — severity MEDIUM. Expected delays of up to 110 minutes.
EE00006,Port Disruption,Equipment malfunction at terminal,LOW,San Antonio,29.968,-98.9187,2025-06-08T21:22:31,2025-06-13T12:15:02.502411,174,Route Closure,29,Port Disruption near San Antonio — severity LOW. Expected delays of up to 29 minutes.
EE00007,Infrastructure Failure,Power outage at facility,CRITICAL,Rochester,42.3367,-77.2231,2026-01-20T18:50:09,2026-01-25T14:20:30.634120,199,Inspection Required,684,Infrastructure Failure near Rochester — severity CRITICAL. Expected delays of up to 684 minutes.
EE00008,Geopolitical Event,Border control tightened,HIGH,Chattanooga,35.9713,-85.1512,2024-10-03T08:32:22,2024-10-09T14:25:38.430400,409,Delay,276,Geopolitical Event near Chattanooga — severity HIGH. Expected delays of up to 276 minutes.
EE00009,Geopolitical Event,Border control tightened,HIGH,Nashville,35.448,-85.9676,2025-06-17T09:02:27,2025-06-17T23:00:28.343864,315,Route Closure,398,Geopolitical Event near Nashville — severity HIGH. Expected delays of up to 398 minutes.
EE00010,Labor Strike,Truck drivers work stoppage,MEDIUM,Topeka,38.2071,-95.4422,2025-08-27T09:49:28,2025-08-31T16:07:10.252298,451,Capacity Reduction,72,Labor Strike near Topeka — severity MEDIUM. Expected delays of up to 72 minutes.
EE00011,Labor Strike,Port workers strike,HIGH,Newark,40.5786,-74.5563,2024-09-17T11:32:18,2024-09-22T01:29:03.706402,308,Route Closure,244,Labor Strike near Newark — severity HIGH. Expected delays of up to 244 minutes.
