route_id,total_shipments,average_delay_minutes,median_delay_minutes,delay_rate,sla_breach_rate,average_weather_exposure,average_traffic_exposure,average_congestion_exposure,route_reliability_score
RT-LOC001-LOC002,5,142.4,136.0,0.4,0.4,0.3926,0.8103999999999999,0.49939999999999996,0.6
RT-LOC001-LOC002-LOC005,9,115.2,118.0,0.333,0.333,0.25555555555555554,0.7117777777777777,0.3954444444444445,0.667
RT-LOC001-LOC002-LOC017,6,137.5,139.0,0.667,0.667,0.41100000000000003,0.5415,0.555,0.333
RT-LOC001-LOC002-LOC059,10,112.0,106.0,0.5,0.5,0.3888,0.7261,0.42160000000000003,0.5
RT-LOC001-LOC007,9,88.8,59.0,0.444,0.444,0.31666666666666665,0.24866666666666667,0.32866666666666666,0.556
RT-LOC001-LOC007-LOC004,4,91.0,68.0,0.75,0.75,0.518,0.4095,0.0865,0.25
RT-LOC001-LOC007-LOC006,11,101.8,105.0,0.636,0.636,0.3921818181818182,0.466,0.3944545454545454,0.364
RT-LOC001-LOC007-LOC052,77,119.9,110.0,0.494,0.494,0.43937662337662337,0.41031168831168835,0.336038961038961,0.506
RT-LOC001-LOC051,9,110.6,114.0,0.667,0.667,0.49466666666666664,0.15366666666666667,0.48000000000000004,0.333
RT-LOC001-LOC051-LOC028,254,128.1,112.5,0.524,0.524,0.45412204724409444,0.40421259842519686,0.3964842519685039,0.476
RT-LOC001-LOC051-LOC029,9,193.3,177.0,0.556,0.556,0.6194444444444445,0.31455555555555553,0.5077777777777778,0.444
RT-LOC002-LOC005,6,182.8,142.0,0.667,0.667,0.21833333333333335,0.6956666666666668,0.41500000000000004,0.333
RT-LOC002-LOC005-LOC018,40,101.6,95.5,0.4,0.4,0.29710000000000003,0.49857500000000005,0.408525,0.6
RT-LOC002-LOC006,5,187.8,164.0,0.4,0.4,0.4058,0.7706000000000001,0.23420000000000002,0.6
RT-LOC002-LOC006-LOC003,92,132.2,114.0,0.522,0.522,0.44025,0.5869891304347826,0.38664130434782606,0.478
RT-LOC002-LOC017,7,97.3,90.0,0.143,0.143,0.4358571428571429,0.19542857142857145,0.588,0.857
RT-LOC002-LOC029,2,84.5,84.5,1.0,1.0,0.4065,0.5940000000000001,0.27749999999999997,0.0
RT-LOC002-LOC029-LOC001,9,110.0,107.0,0.444,0.444,0.31877777777777777,0.6217777777777778,0.41433333333333333,0.556
RT-LOC002-LOC029-LOC051,228,128.0,116.0,0.513,0.513,0.4445789473684211,0.5055438596491227,0.4007938596491228,0.487
RT-LOC002-LOC059,9,134.6,122.0,0.667,0.667,0.5482222222222223,0.7207777777777777,0.3343333333333333,0.333
RT-LOC002-LOC059-LOC060,31,116.3,111.0,0.548,0.548,0.37267741935483867,0.6799999999999999,0.35235483870967743,0.452
RT-LOC003-LOC007,6,160.7,166.0,0.667,0.667,0.6253333333333333,0.5671666666666667,0.2773333333333334,0.333
RT-LOC003-LOC007-LOC004,1,101.0,101.0,0.0,0.0,0.649,0.895,0.251,1.0
RT-LOC003-LOC007-LOC006,321,122.8,110.0,0.467,0.467,0.3827570093457944,0.5098660436137071,0.39361682242990653,0.533
RT-LOC003-LOC007-LOC052,68,118.4,111.0,0.485,0.485,0.504779411764706,0.5185294117647059,0.34992647058823534,0.515
RT-LOC004-LOC003,4,212.8,217.5,0.5,0.5,0.5730000000000001,0.80075,0.42925,0.5
RT-LOC004-LOC007,4,123.5,113.5,0.5,0.5,0.2405,0.6657500000000001,0.48924999999999996,0.5
RT-LOC004-LOC007-LOC006,286,126.0,110.5,0.441,0.441,0.3691783216783217,0.5266853146853147,0.40257342657342654,0.559
RT-LOC004-LOC009,5,142.8,142.0,0.4,0.4,0.46340000000000003,0.5349999999999999,0.4662,0.6
RT-LOC004-LOC009-LOC008,6,116.5,108.5,0.333,0.333,0.38466666666666666,0.6204999999999999,0.397,0.667
RT-LOC004-LOC009-LOC010,32,107.2,106.5,0.5,0.5,0.3568125,0.51846875,0.366875,0.5
