shipment_id,tracking_number,origin_location_id,destination_location_id,route_id,shipment_type,priority,weight_kg,distance_km,number_of_stops,number_of_handoffs,planned_duration_minutes,actual_duration_minutes,planned_delivery_time,actual_delivery_time,weather_exposure,traffic_exposure,congestion_exposure,transport_delay_minutes,external_event_exposure,historical_route_delay_rate,historical_route_avg_delay,expected_delay_minutes,delay_minutes,sla_limit_minutes,sla_breached,final_risk_score,planned_date
HIST000001,1Z9JEME5FN7NGU4K89,LOC043,LOC047,RT-LOC043-LOC046-LOC047,Standard,Critical,111.2,1031.32,2,3,515.7,617.7,2026-01-17T21:02:40,2026-01-17T22:44:40,0.381,0.072,0.592,0,0.419,0.24,43.6,102,102,2880,True,3.37,2026-01-17T12:26:58
HIST000002,1ZK0MPP9LFNILZH5RA,LOC010,LOC018,RT-LOC010-LOC020-LOC021,Standard,Critical,8.79,1710.93,8,8,598.8,819.8,2026-02-07T15:33:06,2026-02-07T19:14:06,0.551,0.568,0.544,0,0.481,0.243,68.8,221,221,2880,True,4.38,2026-02-07T05:34:18
HIST000003,1ZVYL19D26W7JWK4SQ,LOC035,LOC052,RT-LOC035-LOC036-LOC015,Fragile,High,71.76,3615.55,10,12,1625.5,1773.5,2026-05-19T05:45:38,2026-05-19T08:13:38,0.387,0.691,0.502,0,0.485,0.237,64.7,148,148,4320,False,4.36,2026-05-18T02:40:08
HIST000004,1ZAA7PIWI042LASMP4,LOC010,LOC002,RT-LOC010-LOC020-LOC021,Express,Normal,20.63,1633.54,8,10,540.7,651.7,2024-07-17T23:41:07,2024-07-18T01:32:07,0.528,0.57,0.717,0,0.245,0.247,58.2,111,111,7200,False,4.46,2024-07-17T14:40:25
HIST000005,1ZCE5KCM7XHBA328ZK,LOC031,LOC019,RT-LOC031-LOC070-LOC016,International,Critical,53.14,2156.7,6,8,693.9,788.9,2024-10-31T18:38:33,2024-10-31T20:13:33,0.267,0.351,0.417,0,0.091,0.213,60.0,95,95,2880,False,2.78,2024-10-31T07:04:39
HIST000006,1ZTF2ZKCGFHKHOLZR2,LOC052,LOC014,RT-LOC052-LOC007-LOC006,Express,Normal,35.48,3529.86,13,14,877.3,1023.3,2024-05-03T12:52:54,2024-05-03T15:18:54,0.446,0.686,0.734,0,0.006,0.206,54.8,146,146,7200,True,4.25,2024-05-02T22:15:36
HIST000007,1ZE3HGWTZ7278HCM5X,LOC057,LOC062,RT-LOC057-LOC055-LOC008,Express,Low,7.37,1855.15,9,10,732.0,895.0,2024-09-26T01:58:29,2024-09-26T04:41:29,0.385,0.472,0.796,0,0.336,0.287,60.9,163,163,10080,False,4.37,2024-09-25T13:46:29
HIST000008,1ZYGKBU011SEX0HODC,LOC045,LOC041,RT-LOC045-LOC038-LOC047,Express,Normal,148.12,1267.05,4,5,500.3,666.3,2026-06-16T23:45:32,2026-06-17T02:31:32,0.395,0.461,0.765,0,0.008,0.249,61.4,166,166,7200,True,3.98,2026-06-16T15:25:14
HIST000009,1ZA8U0F2227KKQ5M9M,LOC051,LOC044,RT-LOC051-LOC028-LOC050,International,Low,47.34,3929.63,9,10,1721.2,1806.2,2025-07-11T21:29:57,2025-07-11T22:54:57,0.642,0.57,0.77,0,0.015,0.201,59.0,85,85,10080,False,4.53,2025-07-10T16:48:45
HIST000010,1ZTJ3CKIBAYL6LC3PT,LOC010,LOC042,RT-LOC010-LOC020-LOC023,Fragile,Normal,55.2,5155.09,14,16,1873.4,1944.4,2025-11-22T04:02:11,2025-11-22T05:13:11,0.111,0.279,0.477,0,0.275,0.269,52.9,71,71,7200,False,3.0,2025-11-20T20:48:47
HIST000011,1ZVS08H3BFW6URJMEG,LOC004,LOC047,RT-LOC004-LOC007-LOC006,Temperature Sensitive,High,0.37,5032.6,14,15,1744.1,1875.1,2024-01-23T08:51:27,2024-01-23T11:02:27,0.295,0.346,0.671,0,0.257,0.208,58.4,131,131,4320,False,3.68,2024-01-22T03:47:21
HIST000012,1ZUOMXPPVP7D4V5O6I,LOC002,LOC048,RT-LOC002-LOC029-LOC051,International,Normal,111.86,4843.42,12,13,1073.4,1171.4,2025-03-01T03:25:00,2025-03-01T05:03:00,0.191,0.504,0.243,0,0.146,0.213,63.1,98,98,7200,True,2.55,2025-02-28T09:31:36
HIST000013,1ZQC4KUKKKP6DQWVVS,LOC053,LOC069,RT-LOC053-LOC052-LOC007,Standard,Critical,8.42,3092.61,12,12,835.1,1071.1,2025-11-24T14:18:17,2025-11-24T18:14:17,0.713,0.356,0.706,60,0.05,0.24,56.5,236,236,2880,False,4.36,2025-11-24T00:23:11
HIST000014,1Z0XBKXL3T886DV8L2,LOC040,LOC070,RT-LOC040-LOC038-LOC045,Fragile,High,3.16,2517.77,5,6,742.3,827.3,2024-07-29T02:10:53,2024-07-29T03:35:53,0.373,0.884,0.706,0,0.382,0.295,42.8,85,85,4320,True,5.05,2024-07-28T13:48:35
HIST000015,1ZDBHUHP30DVT3RAVF,LOC065,LOC029,RT-LOC065-LOC067-LOC012,International,Critical,3.84,1980.2,7,7,543.3,672.3,2025-09-27T00:51:13,2025-09-27T03:00:13,0.39,0.913,0.498,0,0.163,0.246,39.5,129,129,2880,True,4.17,2025-09-26T15:47:55
