risk_id,shipment_id,weather_score,traffic_score,congestion_score,transport_score,external_event_score,historical_score,shipment_characteristics_score,overall_risk_score,risk_level,sla_breach_probability,expected_delay_minutes,created_at
RISK00001,CURR00001,8.63,4.1,5.78,1.0,3.16,10.0,1,5.06,HIGH,0.671,181,2026-07-01T00:00:00
RISK00002,CURR00002,6.25,6.06,6.47,1.25,3.65,10.0,1,5.11,HIGH,0.773,121,2026-07-01T00:00:00
RISK00003,CURR00003,5.7,5.42,1.15,1.25,1.0,7.9,1,3.36,MEDIUM,0.581,73,2026-07-01T00:00:00
RISK00004,CURR00004,6.49,5.63,6.9,1.0,2.04,10.0,3,5.18,HIGH,0.672,64,2026-07-01T00:00:00
RISK00005,CURR00005,1.48,5.33,2.54,1.0,1.39,9.1,1,2.9,LOW,0.346,63,2026-07-01T00:00:00
RISK00006,CURR00006,2.51,7.0,4.58,1.0,1.38,10.0,1,3.86,MEDIUM,0.461,76,2026-07-01T00:00:00
RISK00007,CURR00007,6.48,4.78,4.11,1.0,2.37,9.1,1,4.23,MEDIUM,0.619,121,2026-07-01T00:00:00
RISK00008,CURR00008,4.86,3.56,1.64,1.25,1.0,10.0,3,3.42,MEDIUM,0.525,159,2026-07-01T00:00:00
RISK00009,CURR00009,3.37,4.64,2.94,1.0,3.62,8.8,1,3.45,MEDIUM,0.502,90,2026-07-01T00:00:00
RISK00010,CURR00010,1.0,7.82,5.33,1.0,3.6,10.0,1,4.05,MEDIUM,0.455,63,2026-07-01T00:00:00
RISK00011,CURR00011,5.86,1.0,5.37,1.0,1.0,8.75,1,3.62,MEDIUM,0.438,35,2026-07-01T00:00:00
RISK00012,CURR00012,2.41,3.38,1.04,1.0,1.31,8.75,1,2.45,LOW,0.307,43,2026-07-01T00:00:00
RISK00013,CURR00013,2.88,1.0,6.52,1.25,1.0,10.0,1,3.42,MEDIUM,0.503,141,2026-07-01T00:00:00
RISK00014,CURR00014,3.04,3.67,1.0,2.5,2.5,10.0,1,3.08,MEDIUM,0.614,148,2026-07-01T00:00:00
RISK00015,CURR00015,2.41,1.0,4.75,1.25,2.77,7.58,1,2.9,LOW,0.464,127,2026-07-01T00:00:00
RISK00016,CURR00016,5.88,1.62,1.0,1.0,1.31,9.53,1,2.95,LOW,0.456,87,2026-07-01T00:00:00
RISK00017,CURR00017,1.79,4.49,2.03,1.0,2.06,10.0,1,2.89,LOW,0.354,62,2026-07-01T00:00:00
RISK00018,CURR00018,5.63,5.03,1.0,1.0,1.0,10.0,1,3.43,MEDIUM,0.442,26,2026-07-01T00:00:00
RISK00019,CURR00019,4.6,1.0,4.49,1.0,1.69,10.0,1,3.39,MEDIUM,0.413,82,2026-07-01T00:00:00
RISK00020,CURR00020,3.15,2.35,3.19,1.0,3.23,6.25,1,2.82,LOW,0.374,43,2026-07-01T00:00:00
RISK00021,CURR00021,5.63,6.26,3.94,1.0,1.0,10.0,1,4.2,MEDIUM,0.529,130,2026-07-01T00:00:00
RISK00022,CURR00022,2.22,7.59,3.07,1.0,2.33,10.0,3,3.88,MEDIUM,0.45,95,2026-07-01T00:00:00
RISK00023,CURR00023,1.0,7.97,3.75,1.25,1.0,10.0,1,3.53,MEDIUM,0.508,101,2026-07-01T00:00:00
RISK00024,CURR00024,1.0,1.0,1.0,1.25,3.72,10.0,1,2.21,LOW,0.334,64,2026-07-01T00:00:00
RISK00025,CURR00025,7.4,1.0,1.0,1.0,1.0,10.0,1,3.18,MEDIUM,0.426,9,2026-07-01T00:00:00
RISK00026,CURR00026,7.5,5.48,2.55,1.0,2.76,10.0,1,4.36,MEDIUM,0.595,50,2026-07-01T00:00:00
RISK00027,CURR00027,3.27,7.94,3.02,1.0,1.0,1.0,1,2.9,LOW,0.425,83,2026-07-01T00:00:00
RISK00028,CURR00028,6.19,1.18,1.25,1.0,1.0,10.0,3,3.21,MEDIUM,0.399,104,2026-07-01T00:00:00
RISK00029,CURR00029,3.98,5.63,1.0,1.0,2.86,5.0,1,2.88,LOW,0.401,67,2026-07-01T00:00:00
RISK00030,CURR00030,2.51,4.1,1.34,1.25,3.45,10.0,3,3.22,MEDIUM,0.512,108,2026-07-01T00:00:00
RISK00031,CURR00031,7.33,1.5,4.7,1.0,3.36,10.0,1,4.22,MEDIUM,0.557,117,2026-07-01T00:00:00
RISK00032,CURR00032,4.27,1.51,6.21,1.0,1.71,9.57,1,3.7,MEDIUM,0.448,75,2026-07-01T00:00:00
RISK00033,CURR00033,6.86,2.36,5.51,1.0,3.4,10.0,1,4.42,MEDIUM,0.575,84,2026-07-01T00:00:00
RISK00034,CURR00034,6.56,2.88,6.45,2.5,1.0,10.0,1,4.61,MEDIUM,0.791,247,2026-07-01T00:00:00
RISK00035,CURR00035,2.72,3.82,1.0,1.0,1.0,10.0,1,2.67,LOW,0.315,61,2026-07-01T00:00:00
RISK00036,CURR00036,8.25,3.79,2.37,1.0,2.59,10.0,1,4.2,MEDIUM,0.583,78,2026-07-01T00:00:00
RISK00037,CURR00037,3.16,5.54,5.48,1.0,3.42,10.0,1,4.15,MEDIUM,0.502,78,2026-07-01T00:00:00
RISK00038,CURR00038,1.0,3.92,1.0,1.0,2.56,10.0,1,2.49,LOW,0.28,30,2026-07-01T00:00:00
RISK00039,CURR00039,7.88,3.07,5.02,1.0,1.72,10.0,1,4.46,MEDIUM,0.591,124,2026-07-01T00:00:00
RISK00040,CURR00040,8.91,7.43,1.84,1.0,1.78,10.0,3,4.89,MEDIUM,0.657,139,2026-07-01T00:00:00
RISK00041,CURR00041,1.0,2.72,1.0,1.0,2.41,10.0,1,2.3,LOW,0.242,7,2026-07-01T00:00:00
RISK00042,CURR00042,6.05,7.43,6.46,2.5,3.42,10.0,1,5.43,HIGH,0.911,278,2026-07-01T00:00:00
RISK00043,CURR00043,1.0,4.34,1.0,1.0,3.55,10.0,1,2.66,LOW,0.282,25,2026-07-01T00:00:00
RISK00044,CURR00044,3.64,1.0,6.86,1.0,1.81,10.0,3,3.88,MEDIUM,0.418,103,2026-07-01T00:00:00
RISK00045,CURR00045,5.22,4.98,3.74,1.0,2.96,10.0,1,4.08,MEDIUM,0.528,84,2026-07-01T00:00:00
RISK00046,CURR00046,6.73,5.88,6.01,1.0,1.0,1.0,1,3.88,MEDIUM,0.567,133,2026-07-01T00:00:00
RISK00047,CURR00047,3.16,7.3,4.09,1.0,2.17,10.0,3,4.21,MEDIUM,0.559,93,2026-07-01T00:00:00
RISK00048,CURR00048,3.49,5.32,4.86,1.0,2.79,10.0,1,4.0,MEDIUM,0.507,97,2026-07-01T00:00:00
RISK00049,CURR00049,1.0,4.02,3.48,1.0,1.0,10.0,1,2.85,LOW,0.284,63,2026-07-01T00:00:00
RISK00050,CURR00050,2.1,6.99,3.38,1.25,1.0,10.0,1,3.53,MEDIUM,0.563,102,2026-07-01T00:00:00
RISK00051,CURR00051,2.32,1.0,4.78,1.0,2.89,10.0,1,3.11,MEDIUM,0.36,52,2026-07-01T00:00:00
RISK00052,CURR00052,6.12,3.1,3.21,1.0,1.0,10.0,1,3.68,MEDIUM,0.529,113,2026-07-01T00:00:00
RISK00053,CURR00053,8.69,1.46,4.24,1.0,1.0,10.0,1,4.15,MEDIUM,0.621,108,2026-07-01T00:00:00
RISK00054,CURR00054,3.51,6.67,5.23,2.5,1.0,10.0,1,4.32,MEDIUM,0.741,240,2026-07-01T00:00:00
RISK00055,CURR00055,1.0,1.0,3.95,1.0,3.31,10.0,1,2.72,LOW,0.272,9,2026-07-01T00:00:00
RISK00056,CURR00056,3.17,5.47,5.68,1.0,1.0,10.0,1,3.94,MEDIUM,0.472,96,2026-07-01T00:00:00
RISK00057,CURR00057,3.35,1.71,4.53,1.0,2.9,10.0,1,3.37,MEDIUM,0.407,39,2026-07-01T00:00:00
RISK00058,CURR00058,8.88,4.64,6.29,1.0,1.57,10.0,1,5.14,HIGH,0.679,135,2026-07-01T00:00:00
RISK00059,CURR00059,1.23,3.84,3.06,1.0,3.9,10.0,1,3.07,MEDIUM,0.367,62,2026-07-01T00:00:00
RISK00060,CURR00060,4.98,1.47,4.55,1.0,1.0,10.0,1,3.48,MEDIUM,0.418,67,2026-07-01T00:00:00
RISK00061,CURR00061,2.85,1.46,1.0,1.0,1.0,10.0,1,2.34,LOW,0.264,30,2026-07-01T00:00:00
RISK00062,CURR00062,1.0,7.66,5.78,1.0,2.31,8.48,3,4.03,MEDIUM,0.431,67,2026-07-01T00:00:00
RISK00063,CURR00063,5.7,5.33,3.48,1.0,1.0,10.0,1,3.99,MEDIUM,0.509,68,2026-07-01T00:00:00
RISK00064,CURR00064,1.89,7.63,5.44,1.25,3.55,10.0,1,4.25,MEDIUM,0.629,192,2026-07-01T00:00:00
RISK00065,CURR00065,7.75,7.13,1.67,1.0,1.8,10.0,1,4.38,MEDIUM,0.598,157,2026-07-01T00:00:00
RISK00066,CURR00066,5.63,1.93,2.47,1.0,1.0,10.0,1,3.26,MEDIUM,0.414,90,2026-07-01T00:00:00
RISK00067,CURR00067,1.8,4.38,4.68,1.0,3.28,9.53,3,3.68,MEDIUM,0.474,100,2026-07-01T00:00:00
RISK00068,CURR00068,6.63,3.62,1.0,1.25,1.42,10.0,3,3.7,MEDIUM,0.578,151,2026-07-01T00:00:00
RISK00069,CURR00069,8.41,2.18,3.61,1.0,3.0,10.0,1,4.28,MEDIUM,0.577,105,2026-07-01T00:00:00
RISK00070,CURR00070,2.88,5.45,3.12,1.0,3.29,10.0,3,3.8,MEDIUM,0.514,122,2026-07-01T00:00:00
RISK00071,CURR00071,3.72,1.0,4.01,1.0,2.15,9.1,1,3.07,MEDIUM,0.375,94,2026-07-01T00:00:00
RISK00072,CURR00072,8.81,2.47,6.69,1.0,3.38,10.0,3,5.26,HIGH,0.665,178,2026-07-01T00:00:00
RISK00073,CURR00073,7.62,6.78,5.75,1.0,3.37,10.0,1,5.28,HIGH,0.756,235,2026-07-01T00:00:00
RISK00074,CURR00074,6.33,7.53,1.95,1.0,1.0,8.8,1,4.02,MEDIUM,0.531,84,2026-07-01T00:00:00
RISK00075,CURR00075,5.36,1.0,1.5,1.25,1.14,10.0,1,2.92,LOW,0.502,125,2026-07-01T00:00:00
RISK00076,CURR00076,3.84,4.9,4.85,1.0,3.62,10.0,1,4.08,MEDIUM,0.509,137,2026-07-01T00:00:00
RISK00077,CURR00077,8.23,1.0,5.68,1.0,3.49,10.0,1,4.53,MEDIUM,0.576,126,2026-07-01T00:00:00
RISK00078,CURR00078,2.43,5.88,2.99,1.0,2.92,10.0,3,3.71,MEDIUM,0.439,15,2026-07-01T00:00:00
RISK00079,CURR00079,3.12,1.0,5.34,1.0,1.0,10.0,1,3.19,MEDIUM,0.358,65,2026-07-01T00:00:00
RISK00080,CURR00080,1.43,4.6,1.0,1.25,3.82,10.0,1,2.85,LOW,0.464,92,2026-07-01T00:00:00
RISK00081,CURR00081,2.07,6.19,6.75,1.0,1.0,10.0,3,4.24,MEDIUM,0.452,99,2026-07-01T00:00:00
RISK00082,CURR00082,1.81,7.39,2.57,1.0,3.94,10.0,1,3.63,MEDIUM,0.448,40,2026-07-01T00:00:00
RISK00083,CURR00083,1.0,2.59,2.4,1.0,1.98,10.0,3,2.72,LOW,0.254,30,2026-07-01T00:00:00
RISK00084,CURR00084,8.07,4.06,1.37,1.0,3.83,9.7,1,4.1,MEDIUM,0.567,24,2026-07-01T00:00:00
RISK00085,CURR00085,1.04,7.06,4.98,1.0,1.78,10.0,1,3.69,MEDIUM,0.429,68,2026-07-01T00:00:00
RISK00086,CURR00086,4.89,1.0,5.37,1.0,3.59,10.0,1,3.81,MEDIUM,0.465,65,2026-07-01T00:00:00
