edge_id,origin_location_id,destination_location_id,distance_km,base_travel_time_minutes,road_quality,capacity,historical_delay_rate,average_delay_minutes,weather_exposure,traffic_baseline,congestion_baseline,infrastructure_risk,transport_mode
EDGE0001,LOC064,LOC067,334.86,167.4,3,116,0.356,26.6,0.04,0.75,0.15,0.61,rail
EDGE0002,LOC029,LOC007,404.96,303.7,6,189,0.249,91.4,0.35,0.3,0.14,0.47,road
EDGE0003,LOC021,LOC022,155.9,78.0,3,787,0.335,53.9,0.27,0.62,0.53,0.68,rail
EDGE0004,LOC071,LOC050,334.87,167.4,3,184,0.351,16.2,0.44,0.82,0.31,0.65,rail
EDGE0005,LOC072,LOC049,628.71,471.5,8,793,0.174,22.1,0.54,0.42,0.71,0.29,road
EDGE0006,LOC070,LOC031,430.08,36.9,9,152,0.103,49.9,0.53,0.59,0.29,0.18,air
EDGE0007,LOC019,LOC022,398.95,199.5,10,185,0.071,53.8,0.22,0.35,0.52,0.06,rail
EDGE0008,LOC035,LOC033,807.62,605.7,3,587,0.335,94.7,0.24,0.1,0.68,0.76,road
EDGE0009,LOC008,LOC020,262.66,197.0,3,786,0.347,41.0,0.51,0.22,0.38,0.66,road
EDGE0010,LOC053,LOC004,361.02,270.8,7,374,0.214,65.9,0.35,0.82,0.75,0.26,road
EDGE0011,LOC005,LOC059,112.23,84.2,6,569,0.284,71.3,0.18,0.87,0.8,0.3,road
EDGE0012,LOC018,LOC012,315.95,158.0,7,963,0.184,98.8,0.1,0.31,0.66,0.22,rail
EDGE0013,LOC012,LOC018,315.95,27.1,7,261,0.247,100.1,0.25,0.3,0.41,0.32,air
EDGE0014,LOC073,LOC015,730.43,547.8,4,429,0.309,108.1,0.34,0.16,0.65,0.58,road
EDGE0015,LOC073,LOC074,654.39,327.2,8,362,0.148,88.2,0.63,0.84,0.68,0.18,rail
EDGE0016,LOC067,LOC064,334.86,251.1,4,581,0.303,53.8,0.32,0.61,0.13,0.55,road
EDGE0017,LOC060,LOC019,289.97,217.5,7,324,0.156,62.3,0.21,0.44,0.5,0.4,road
EDGE0018,LOC052,LOC003,278.56,139.3,4,264,0.35,73.8,0.62,0.68,0.3,0.6,rail
EDGE0019,LOC006,LOC003,203.3,17.4,6,114,0.25,53.2,0.33,0.68,0.34,0.42,air
EDGE0020,LOC042,LOC047,249.75,124.9,5,601,0.228,16.0,0.47,0.77,0.35,0.57,rail
EDGE0021,LOC002,LOC001,265.26,198.9,3,186,0.295,116.0,0.54,0.48,0.21,0.79,road
EDGE0022,LOC061,LOC018,182.03,136.5,3,841,0.332,99.0,0.42,0.6,0.3,0.7,road
EDGE0023,LOC050,LOC049,196.03,147.0,4,175,0.309,81.0,0.34,0.78,0.64,0.62,road
EDGE0024,LOC016,LOC049,266.05,22.8,9,233,0.101,67.5,0.33,0.17,0.51,0.04,air
EDGE0025,LOC056,LOC055,104.7,78.5,4,156,0.295,89.3,0.42,0.68,0.51,0.67,road
EDGE0026,LOC044,LOC043,234.01,175.5,6,339,0.219,40.0,0.76,0.17,0.77,0.5,road
EDGE0027,LOC063,LOC013,235.3,176.5,4,396,0.345,90.8,0.18,0.66,0.14,0.59,road
EDGE0028,LOC001,LOC003,494.55,370.9,3,174,0.323,11.0,0.44,0.75,0.62,0.71,road
EDGE0029,LOC004,LOC006,260.53,195.4,8,293,0.15,28.0,0.27,0.58,0.59,0.27,road
EDGE0030,LOC022,LOC020,207.37,155.5,7,297,0.162,59.1,0.19,0.52,0.48,0.3,road
EDGE0031,LOC047,LOC042,249.75,124.9,3,224,0.336,66.7,0.42,0.67,0.67,0.77,rail
EDGE0032,LOC058,LOC055,288.6,24.7,6,536,0.248,31.4,0.37,0.15,0.22,0.44,air
EDGE0033,LOC058,LOC056,224.83,168.6,5,558,0.295,81.0,0.55,0.79,0.18,0.45,road
EDGE0034,LOC017,LOC005,143.7,107.8,5,718,0.316,67.0,0.32,0.5,0.45,0.5,road
EDGE0035,LOC070,LOC049,246.64,21.1,9,856,0.153,57.9,0.5,0.63,0.29,0.08,air
EDGE0036,LOC037,LOC035,556.0,47.7,6,586,0.234,51.0,0.09,0.38,0.66,0.34,air
EDGE0037,LOC046,LOC042,109.89,82.4,6,458,0.283,73.8,0.29,0.75,0.75,0.42,road
EDGE0038,LOC066,LOC064,261.27,22.4,10,150,0.1,17.4,0.16,0.38,0.19,0.0,air
EDGE0039,LOC056,LOC058,224.83,19.3,3,433,0.338,97.1,0.49,0.18,0.49,0.67,air
EDGE0040,LOC062,LOC066,502.4,251.2,10,923,0.083,10.8,0.04,0.21,0.48,0.0,rail
EDGE0041,LOC031,LOC033,678.22,508.7,9,130,0.18,10.3,0.16,0.9,0.59,0.14,road
EDGE0042,LOC016,LOC070,94.84,71.1,8,415,0.125,16.0,0.35,0.87,0.74,0.19,road
EDGE0043,LOC028,LOC071,318.6,239.0,9,666,0.12,97.1,0.37,0.7,0.21,0.03,road
EDGE0044,LOC045,LOC073,622.13,466.6,6,804,0.271,60.5,0.48,0.24,0.73,0.45,road
EDGE0045,LOC017,LOC003,357.85,268.4,7,638,0.244,62.7,0.17,0.88,0.59,0.38,road
EDGE0046,LOC027,LOC026,124.18,93.1,4,556,0.348,59.1,0.18,0.7,0.48,0.69,road
EDGE0047,LOC069,LOC016,286.63,215.0,7,346,0.249,17.8,0.14,0.22,0.7,0.3,road
EDGE0048,LOC068,LOC031,424.97,318.7,4,434,0.339,26.5,0.34,0.65,0.57,0.51,road
EDGE0049,LOC062,LOC018,294.02,220.5,3,654,0.388,15.9,0.24,0.36,0.48,0.79,road
EDGE0050,LOC024,LOC026,276.02,207.0,7,790,0.198,41.2,0.24,0.25,0.57,0.36,road
EDGE0051,LOC056,LOC054,213.78,18.3,10,467,0.092,83.4,0.32,0.86,0.24,0.02,air
EDGE0052,LOC059,LOC017,118.15,88.6,8,237,0.194,22.6,0.37,0.77,0.64,0.21,road
EDGE0053,LOC011,LOC057,77.72,38.9,6,704,0.282,6.4,0.57,0.64,0.64,0.45,rail
EDGE0054,LOC039,LOC040,179.41,89.7,6,794,0.219,40.4,0.15,0.53,0.64,0.44,rail
EDGE0055,LOC007,LOC004,330.03,28.3,3,918,0.322,79.2,0.47,0.84,0.69,0.77,air
EDGE0056,LOC031,LOC070,430.08,322.6,7,726,0.254,36.2,0.29,0.41,0.23,0.3,road
EDGE0057,LOC069,LOC068,360.36,270.3,3,596,0.307,97.7,0.33,0.79,0.46,0.79,road
EDGE0058,LOC018,LOC005,249.43,187.1,8,674,0.171,63.3,0.41,0.82,0.42,0.23,road
EDGE0059,LOC028,LOC051,374.48,280.9,5,809,0.265,69.2,0.63,0.54,0.28,0.42,road
EDGE0060,LOC004,LOC007,330.03,165.0,10,593,0.119,97.8,0.27,0.73,0.77,0.0,rail
EDGE0061,LOC046,LOC044,1005.78,754.3,10,285,0.119,58.7,0.18,0.24,0.65,0.0,road
EDGE0062,LOC015,LOC036,537.93,403.4,3,294,0.36,8.4,0.5,0.74,0.53,0.78,road
EDGE0063,LOC040,LOC038,426.45,36.6,6,480,0.271,73.5,0.02,0.54,0.63,0.39,air
EDGE0064,LOC063,LOC062,136.65,102.5,9,103,0.123,80.3,0.26,0.48,0.45,0.06,road
EDGE0065,LOC072,LOC028,344.8,258.6,7,929,0.251,96.4,0.37,0.31,0.41,0.3,road
EDGE0066,LOC065,LOC064,226.38,169.8,6,747,0.194,58.5,0.11,0.89,0.41,0.32,road
EDGE0067,LOC003,LOC052,278.56,139.3,7,749,0.191,45.4,0.23,0.19,0.78,0.24,rail
EDGE0068,LOC002,LOC005,172.04,129.0,5,336,0.269,78.3,0.23,0.69,0.24,0.45,road
EDGE0069,LOC037,LOC036,530.47,397.9,9,516,0.094,18.0,0.18,0.82,0.59,0.06,road
EDGE0070,LOC028,LOC050,378.19,32.4,10,188,0.111,17.8,0.62,0.23,0.65,0.0,air
EDGE0071,LOC057,LOC011,77.72,38.9,6,678,0.218,109.3,0.51,0.49,0.5,0.31,rail
EDGE0072,LOC075,LOC073,711.14,533.4,4,969,0.359,66.1,0.46,0.39,0.26,0.68,road
EDGE0073,LOC046,LOC041,120.76,90.6,6,669,0.247,101.9,0.42,0.29,0.67,0.34,road
EDGE0074,LOC013,LOC060,249.59,187.2,4,247,0.281,83.2,0.41,0.71,0.6,0.51,road
EDGE0075,LOC061,LOC013,167.14,125.4,4,701,0.33,36.4,0.27,0.13,0.69,0.53,road
EDGE0076,LOC014,LOC032,361.78,271.3,6,528,0.259,43.2,0.25,0.83,0.23,0.41,road
EDGE0077,LOC046,LOC047,254.19,127.1,5,436,0.314,19.7,0.42,0.11,0.16,0.52,rail
EDGE0078,LOC027,LOC025,330.33,165.2,3,599,0.343,55.4,0.0,0.58,0.39,0.79,rail
EDGE0079,LOC052,LOC009,470.57,40.3,9,418,0.174,11.5,0.58,0.61,0.58,0.19,air
EDGE0080,LOC031,LOC014,306.45,229.8,6,287,0.255,78.4,0.15,0.19,0.11,0.32,road
EDGE0081,LOC001,LOC029,131.06,98.3,9,191,0.139,26.3,0.31,0.14,0.73,0.11,road
EDGE0082,LOC027,LOC024,201.26,150.9,3,799,0.364,15.3,0.08,0.44,0.33,0.8,road
EDGE0083,LOC020,LOC023,429.28,36.8,3,993,0.39,82.3,0.32,0.67,0.4,0.7,air
EDGE0084,LOC074,LOC075,459.59,229.8,3,670,0.386,69.8,0.29,0.18,0.4,0.79,rail
EDGE0085,LOC024,LOC025,528.11,396.1,3,427,0.386,73.1,0.07,0.6,0.24,0.64,road
EDGE0086,LOC001,LOC051,196.87,16.9,8,183,0.2,68.9,0.54,0.15,0.7,0.16,air
EDGE0087,LOC053,LOC052,107.49,80.6,5,235,0.318,87.3,0.49,0.22,0.37,0.58,road
EDGE0088,LOC030,LOC016,382.74,191.4,10,225,0.15,52.1,0.46,0.73,0.22,0.0,rail
EDGE0089,LOC067,LOC012,209.07,156.8,9,795,0.151,35.4,0.34,0.77,0.34,0.14,road
EDGE0090,LOC050,LOC028,378.19,32.4,8,593,0.14,41.7,0.27,0.82,0.24,0.25,air
EDGE0091,LOC059,LOC006,250.03,187.5,10,642,0.127,31.0,0.2,0.3,0.34,0.06,road
EDGE0092,LOC062,LOC012,348.27,261.2,8,599,0.149,8.9,0.36,0.22,0.5,0.11,road
EDGE0093,LOC033,LOC035,807.62,69.2,7,281,0.223,62.0,0.21,0.14,0.34,0.27,air
EDGE0094,LOC033,LOC034,118.44,88.8,10,196,0.079,36.7,0.1,0.21,0.64,0.04,road
EDGE0095,LOC015,LOC073,730.43,547.8,4,501,0.348,51.6,0.55,0.4,0.2,0.67,road
EDGE0096,LOC032,LOC014,361.78,271.3,9,145,0.139,53.0,0.21,0.65,0.26,0.17,road
EDGE0097,LOC065,LOC066,120.79,90.6,6,195,0.255,112.8,0.27,0.37,0.27,0.43,road
