event_id,route_edge_id,location_id,timestamp,congestion_level,average_speed_kmh,normal_speed_kmh,traffic_index,incident_type,expected_delay_minutes
TE00001,EDGE0132,LOC033,2025-07-13T13:46:33,High,28,45,75,Rush Hour,135
TE00002,EDGE0121,LOC016,2025-04-30T18:33:57,High,29,45,68,Construction,122
TE00003,EDGE0310,LOC058,2025-10-23T18:15:08,Low,83,90,14,Accident,25
TE00004,EDGE0303,LOC009,2024-06-29T01:06:16,Severe,11,20,87,Weather-related,156
TE00005,EDGE0025,LOC013,2024-05-27T13:47:58,Moderate,58,70,34,Construction,61
TE00006,EDGE0111,LOC031,2024-03-12T06:52:09,High,29,45,68,Accident,122
TE00007,EDGE0037,LOC032,2024-01-16T00:36:37,Low,83,90,14,Weather-related,25
TE00008,EDGE0190,LOC018,2024-08-02T23:43:07,Moderate,50,70,57,Weather-related,102
TE00009,EDGE0012,LOC009,2024-09-21T21:09:30,Moderate,55,70,42,Construction,75
TE00010,EDGE0204,LOC064,2025-05-25T13:21:49,High,27,45,77,Event,138
TE00011,EDGE0245,LOC025,2025-07-09T09:35:15,Moderate,51,70,54,Accident,97
TE00012,EDGE0320,LOC023,2025-11-10T23:10:47,Severe,10,20,95,Rush Hour,171
TE00013,EDGE0204,LOC059,2025-02-20T19:17:57,Moderate,58,70,32,Event,57
TE00014,EDGE0106,LOC055,2024-05-24T09:28:34,Moderate,49,70,60,Accident,108
TE00015,EDGE0161,LOC017,2025-08-01T20:21:38,High,29,45,70,Rush Hour,126
TE00016,EDGE0312,LOC006,2025-06-16T09:37:45,Severe,10,20,92,Rush Hour,165
TE00017,EDGE0056,LOC061,2024-10-11T01:51:58,Severe,11,20,81,Construction,145
TE00018,EDGE0028,LOC019,2024-06-25T19:57:52,Severe,11,20,83,Weather-related,149
TE00019,EDGE0010,LOC074,2025-09-14T14:04:07,Low,85,90,9,Rush Hour,16
TE00020,EDGE0248,LOC051,2025-09-13T18:24:35,Moderate,50,70,57,Construction,102
TE00021,EDGE0325,LOC024,2025-12-10T04:59:45,High,27,45,78,Rush Hour,140
TE00022,EDGE0168,LOC071,2025-02-26T06:40:19,Moderate,55,70,41,Event,73
TE00023,EDGE0284,LOC048,2025-08-22T04:30:56,High,29,45,71,Rush Hour,127
TE00024,EDGE0305,LOC015,2026-01-12T22:15:58,Low,87,90,6,Weather-related,10
TE00025,EDGE0309,LOC052,2025-10-17T03:36:00,Moderate,50,70,55,Event,99
TE00026,EDGE0148,LOC022,2024-09-16T01:57:42,Low,86,90,7,Construction,12
TE00027,EDGE0115,LOC028,2024-06-24T15:03:14,Moderate,53,70,48,Construction,86
TE00028,EDGE0044,LOC010,2024-07-24T20:23:22,Low,76,90,30,Weather-related,54
TE00029,EDGE0206,LOC020,2024-04-01T02:29:45,Severe,11,20,90,Construction,162
TE00030,EDGE0052,LOC055,2024-09-04T14:41:28,Severe,11,20,86,Construction,154
TE00031,EDGE0104,LOC017,2024-06-10T02:42:17,Severe,11,20,81,Event,145
TE00032,EDGE0050,LOC061,2025-10-08T06:38:14,High,30,45,66,Construction,118
TE00033,EDGE0091,LOC035,2026-01-19T19:25:21,High,29,45,68,Rush Hour,122
TE00034,EDGE0099,LOC060,2026-06-02T19:44:54,Severe,11,20,82,Rush Hour,147
TE00035,EDGE0183,LOC032,2025-11-11T15:53:36,Low,81,90,19,Weather-related,34
TE00036,EDGE0030,LOC072,2024-10-08T13:53:00,High,27,45,78,Event,140
TE00037,EDGE0163,LOC013,2025-08-12T22:08:06,Moderate,59,70,31,Construction,55
TE00038,EDGE0093,LOC069,2025-07-11T01:32:11,Low,87,90,6,Rush Hour,10
TE00039,EDGE0252,LOC059,2024-02-14T18:20:48,High,31,45,61,Weather-related,109
TE00040,EDGE0200,LOC044,2024-07-21T23:11:01,High,30,45,65,Weather-related,117
TE00041,EDGE0055,LOC022,2026-01-20T10:30:53,High,30,45,64,Event,115
TE00042,EDGE0256,LOC044,2026-01-28T06:32:10,Severe,10,20,92,Weather-related,165
TE00043,EDGE0271,LOC049,2024-06-24T10:36:51,High,28,45,74,Construction,133
TE00044,EDGE0099,LOC069,2025-09-30T21:47:19,High,31,45,62,Weather-related,111
