transport_id,flight_number,origin_location_id,destination_location_id,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,status,weather_impact,airport_congestion
TR00001,UA3285,LOC019,LOC018,2024-04-14T16:11:12,2024-04-14T16:11:12,2024-04-15T00:00:28.973980,2024-04-15T00:00:28.973980,0,COMPLETED,0.73,0.35
TR00002,UA2950,LOC058,LOC061,2024-06-06T16:34:42,2024-06-06T17:57:42,2024-06-06T19:18:17.564421,2024-06-06T20:41:17.564421,83,DELAYED,0.26,0.02
TR00003,UA1715,LOC008,LOC014,2025-02-21T22:41:31,2025-02-21T22:41:31,2025-02-22T01:42:30.409505,2025-02-22T01:42:30.409505,0,BOARDING,0.7,0.51
TR00004,UA9914,LOC012,LOC072,2024-10-04T15:33:34,2024-10-04T19:18:34,2024-10-04T21:25:52.096273,2024-10-05T01:10:52.096273,225,DELAYED,0.55,0.94
TR00005,UA796,LOC016,LOC036,2026-04-09T11:13:22,2026-04-09T11:13:22,2026-04-09T18:24:33.778088,2026-04-09T18:24:33.778088,0,BOARDING,0.66,0.94
TR00006,UA1430,LOC016,LOC055,2024-07-11T20:10:23,2024-07-11T20:10:23,2024-07-11T22:14:10.495010,2024-07-11T22:14:10.495010,0,COMPLETED,0.11,0.08
TR00007,UA2378,LOC058,LOC022,2025-12-19T12:38:02,2025-12-19T12:38:02,2025-12-19T20:33:35.320569,2025-12-19T20:33:35.320569,0,ON_TIME,0.83,0.3
TR00008,UA3682,LOC065,LOC036,2026-05-09T17:41:18,2026-05-09T21:52:18,2026-05-10T01:01:00.100547,2026-05-10T05:12:00.100547,251,DELAYED,0.92,0.42
TR00009,UA2876,LOC072,LOC012,2025-07-27T02:43:45,2025-07-27T07:36:45,2025-07-27T04:10:13.576045,2025-07-27T09:03:13.576045,293,DELAYED,0.13,0.64
TR00010,UA7454,LOC022,LOC035,2024-10-04T22:46:10,2024-10-04T22:46:10,2024-10-05T03:27:58.947776,2024-10-05T03:27:58.947776,0,COMPLETED,0.61,0.53
TR00011,UA922,LOC065,LOC022,2024-08-25T05:45:44,2024-08-25T06:59:44,2024-08-25T11:26:54.728027,2024-08-25T12:40:54.728027,74,DELAYED,0.47,0.01
TR00012,UA1247,LOC013,LOC050,2026-04-09T00:11:15,2026-04-09T03:59:15,2026-04-09T04:58:49.312016,2026-04-09T08:46:49.312016,228,DELAYED,0.68,0.2
TR00013,UA9360,LOC024,LOC050,2024-10-17T04:39:32,2024-10-17T09:31:32,2024-10-17T10:17:07.042655,2024-10-17T15:09:07.042655,292,DELAYED,0.55,0.8
TR00014,UA1015,LOC058,LOC038,2025-01-16T14:22:00,2025-01-16T18:52:00,2025-01-16T22:02:26.469608,2025-01-17T02:32:26.469608,270,DELAYED,0.35,0.06
TR00015,UA8279,LOC017,LOC022,2024-01-14T14:05:34,2024-01-14T14:05:34,2024-01-14T16:27:27.908285,2024-01-14T16:27:27.908285,0,COMPLETED,0.32,0.98
TR00016,UA7896,LOC068,LOC038,2025-05-20T14:41:38,2025-05-20T14:41:38,2025-05-20T16:12:58.552956,2025-05-20T16:12:58.552956,0,COMPLETED,0.4,0.3
TR00017,UA5181,LOC058,LOC036,2024-09-23T20:57:53,2024-09-23T20:57:53,2024-09-24T00:58:57.649896,2024-09-24T00:58:57.649896,0,BOARDING,0.31,0.96
TR00018,UA2006,LOC072,LOC050,2025-02-27T01:28:33,2025-02-27T01:28:33,2025-02-27T03:39:56.276520,2025-02-27T03:39:56.276520,0,COMPLETED,0.53,0.73
TR00019,UA7616,LOC035,LOC058,2026-03-08T07:11:39,2026-03-08T07:11:39,2026-03-08T13:40:41.860512,2026-03-08T13:40:41.860512,0,IN_TRANSIT,0.14,0.59
TR00020,UA2209,LOC050,LOC028,2024-02-02T04:25:17,2024-02-02T07:31:17,2024-02-02T07:53:04.054676,2024-02-02T10:59:04.054676,186,DELAYED,0.33,0.63
TR00021,UA6746,LOC072,LOC038,2026-02-17T03:23:36,2026-02-17T03:23:36,2026-02-17T08:13:27.780472,2026-02-17T08:13:27.780472,0,IN_TRANSIT,0.61,0.68
TR00022,UA6195,LOC061,LOC014,2026-02-22T17:29:11,2026-02-22T17:29:11,2026-02-23T00:25:38.701219,2026-02-23T00:25:38.701219,0,ON_TIME,0.08,0.47
TR00023,UA2429,LOC052,LOC024,2024-03-29T07:31:27,2024-03-29T07:31:27,2024-03-29T15:06:38.603462,2024-03-29T15:06:38.603462,0,BOARDING,0.52,0.66
TR00024,UA4360,LOC068,LOC055,2025-09-03T18:08:23,2025-09-03T20:05:23,2025-09-03T20:20:30.716049,2025-09-03T22:17:30.716049,117,DELAYED,0.01,0.97
TR00025,UA7086,LOC068,LOC012,2024-07-28T15:16:02,2024-07-28T15:16:02,2024-07-28T20:37:43.528081,2024-07-28T20:37:43.528081,0,BOARDING,0.26,0.83
TR00026,UA7028,LOC022,LOC050,2024-09-16T10:15:30,2024-09-16T10:15:30,2024-09-16T15:53:09.219257,2024-09-16T15:53:09.219257,0,BOARDING,0.79,0.51
TR00027,UA6610,LOC031,LOC014,2024-03-16T02:24:44,2024-03-16T02:57:44,2024-03-16T07:22:18.428110,2024-03-16T07:55:18.428110,33,DELAYED,0.49,0.94
TR00028,UA1445,LOC036,LOC061,2025-12-29T16:04:52,2025-12-29T16:04:52,2025-12-29T19:52:00.850182,2025-12-29T19:52:00.850182,0,IN_TRANSIT,0.38,0.29
TR00029,UA2850,LOC061,LOC068,2024-08-30T04:43:26,2024-08-30T08:22:26,2024-08-30T07:42:44.327654,2024-08-30T11:21:44.327654,219,DELAYED,0.8,0.41
TR00030,UA5784,LOC068,LOC058,2024-07-24T12:09:55,2024-07-24T12:09:55,2024-07-24T13:39:43.214694,2024-07-24T13:39:43.214694,0,ON_TIME,0.2,0.17
TR00031,UA895,LOC036,LOC050,2025-01-10T19:38:19,2025-01-10T20:17:19,2025-01-11T03:34:42.864287,2025-01-11T04:13:42.864287,39,DELAYED,0.45,0.16
TR00032,UA5957,LOC008,LOC016,2025-07-24T09:52:01,2025-07-24T09:52:01,2025-07-24T15:01:20.385323,2025-07-24T15:01:20.385323,0,IN_TRANSIT,0.88,0.58
TR00033,UA9159,LOC058,LOC065,2026-06-10T11:13:09,2026-06-10T14:03:09,2026-06-10T19:00:18.409355,2026-06-10T21:50:18.409355,170,DELAYED,0.87,0.33
TR00034,UA9273,LOC024,LOC035,2025-03-09T20:12:11,2025-03-09T20:12:11,2025-03-10T00:28:16.364892,2025-03-10T00:28:16.364892,0,IN_TRANSIT,0.3,0.0
TR00035,UA3140,LOC065,LOC055,2025-12-19T07:42:57,2025-12-19T10:17:57,2025-12-19T13:41:13.256125,2025-12-19T16:16:13.256125,155,DELAYED,0.82,0.59
TR00036,UA678,LOC022,LOC055,2025-01-16T19:40:30,2025-01-16T21:23:30,2025-01-16T20:59:07.526273,2025-01-16T22:42:07.526273,103,DELAYED,0.89,0.63
TR00037,UA3582,LOC065,LOC013,2025-12-07T17:32:51,2025-12-07T17:32:51,2025-12-08T01:00:41.020188,2025-12-08T01:00:41.020188,0,BOARDING,0.82,1.0
TR00038,UA612,LOC035,LOC014,2024-09-29T01:52:44,2024-09-29T03:06:44,2024-09-29T08:24:08.649677,2024-09-29T09:38:08.649677,74,DELAYED,0.4,0.39
TR00039,UA186,LOC036,LOC050,2024-06-19T16:28:51,2024-06-19T17:11:51,2024-06-19T20:04:24.164325,2024-06-19T20:47:24.164325,43,DELAYED,0.23,0.33
TR00040,UA4779,LOC024,LOC072,2025-01-20T14:07:06,2025-01-20T14:07:06,2025-01-20T20:54:55.141386,2025-01-20T20:54:55.141386,0,IN_TRANSIT,0.95,0.3
