event_id,event_type,severity,latitude,longitude,affected_radius_km,start_time,end_time,temperature,precipitation,wind_speed,visibility,delay_multiplier,expected_delay_minutes
WE00001,Fog,HIGH,40.0494,-122.3314,395,2024-06-21T22:43:23,2024-06-23T01:52:29.331128,39.6,41.6,126.3,3.0,2.61,145
WE00002,Thunderstorm,MEDIUM,38.0466,-102.2455,172,2024-02-08T20:28:06,2024-02-11T16:30:10.381542,-19.3,160.2,28.1,0.9,1.94,66
WE00003,Thunderstorm,HIGH,47.9593,-110.6076,208,2025-03-03T05:50:10,2025-03-04T23:14:33.389456,31.6,198.2,161.0,0.0,2.16,220
WE00004,Extreme Heat,MEDIUM,38.8073,-80.001,289,2025-01-15T10:13:48,2025-01-18T02:00:46.118646,-14.8,38.2,164.3,7.6,1.86,73
WE00005,Extreme Wind,MEDIUM,39.8005,-84.7241,266,2024-12-12T17:53:58,2024-12-13T14:54:31.158735,19.1,135.9,76.3,0.6,1.95,61
WE00006,Tornado,MEDIUM,31.0903,-85.0225,218,2024-08-04T18:21:03,2024-08-05T15:09:24.405360,11.8,130.6,45.4,0.0,1.96,55
WE00007,Heavy Rain,HIGH,41.6773,-81.9987,429,2024-06-08T05:17:49,2024-06-09T12:17:47.575736,36.3,3.7,36.6,0.0,2.0,146
WE00008,Tornado,HIGH,35.0349,-111.4382,280,2026-04-27T04:44:17,2026-04-27T20:27:05.245428,-5.3,29.3,35.5,0.0,2.61,228
WE00009,Hurricane,CRITICAL,40.9468,-86.4943,708,2024-05-15T01:18:52,2024-05-15T16:03:56.827037,-16.8,180.8,141.8,0.0,3.01,271
WE00010,Heavy Rain,LOW,36.6997,-75.9731,56,2025-10-17T10:23:08,2025-10-19T00:04:19.293761,31.5,12.8,86.0,3.5,1.43,23
WE00011,Extreme Heat,HIGH,36.2415,-83.8525,354,2024-02-19T08:56:39,2024-02-19T18:42:51.855801,25.6,149.0,149.6,0.0,2.32,153
WE00012,Snowstorm,MEDIUM,35.9661,-84.4912,285,2024-02-16T06:55:15,2024-02-18T11:53:53.913654,-10.4,36.3,40.0,5.5,1.68,87
WE00013,Heavy Rain,MEDIUM,29.2296,-99.4655,123,2024-05-25T13:12:42,2024-05-26T22:36:16.155140,38.0,157.8,96.9,1.1,1.59,35
WE00014,Heavy Rain,MEDIUM,44.315,-93.5069,156,2024-12-05T15:24:52,2024-12-07T12:29:29.192612,11.7,109.9,195.8,0.0,1.56,77
WE00015,Tornado,MEDIUM,35.1056,-81.449,237,2024-12-27T10:13:36,2024-12-27T19:15:08.300013,21.7,160.0,137.7,0.0,1.99,78
WE00016,Extreme Heat,LOW,30.6197,-114.6001,145,2026-02-24T01:00:38,2026-02-26T08:48:26.378977,29.7,115.5,173.3,8.7,1.49,16
WE00017,Heavy Rain,MEDIUM,39.0748,-89.3655,278,2024-02-11T05:19:57,2024-02-11T17:19:31.349956,35.5,90.2,6.9,1.3,1.74,88
WE00018,Tornado,MEDIUM,29.8809,-80.9532,161,2026-05-21T20:43:57,2026-05-22T07:51:39.813910,-7.8,136.2,175.7,6.1,1.86,85
WE00019,Hurricane,LOW,30.3344,-81.6906,107,2024-11-04T21:12:17,2024-11-06T23:24:05.321509,11.3,81.7,148.5,3.5,1.07,28
WE00020,Snowstorm,MEDIUM,42.0208,-96.8212,291,2026-04-26T12:53:27,2026-04-28T17:15:09.491073,33.1,89.7,61.7,2.2,1.65,67
WE00021,Thunderstorm,MEDIUM,41.69,-74.9012,289,2025-10-13T16:49:57,2025-10-14T21:20:23.852921,41.6,171.0,162.0,4.2,1.62,57
WE00022,Thunderstorm,LOW,35.8737,-82.8737,109,2024-12-08T10:37:19,2024-12-10T11:11:12.184903,13.0,5.8,12.3,6.9,1.2,29
WE00023,Snowstorm,LOW,43.9956,-97.2095,100,2025-11-28T19:43:37,2025-12-01T08:36:00.811517,34.4,128.4,0.6,9.5,1.14,23
WE00024,Snowstorm,LOW,39.4266,-80.0408,61,2025-03-08T03:42:04,2025-03-09T15:57:12.609880,21.6,70.4,118.7,2.7,1.31,9
WE00025,Snowstorm,LOW,38.8953,-111.0092,70,2024-01-11T02:17:28,2024-01-13T11:36:25.002035,18.4,26.5,7.5,4.8,1.42,12
WE00026,Extreme Wind,HIGH,39.1855,-122.921,232,2024-09-05T00:31:50,2024-09-05T16:20:27.548189,-11.6,29.3,183.5,0.5,2.67,171
WE00027,Ice,MEDIUM,36.4339,-113.1031,112,2025-10-18T12:12:24,2025-10-18T18:36:18.792924,38.1,198.4,22.7,1.5,1.97,69
WE00028,Heavy Rain,LOW,27.0934,-89.0294,99,2025-06-12T13:27:31,2025-06-12T20:27:08.445925,6.2,19.1,130.7,2.4,1.42,14
WE00029,Ice,MEDIUM,43.8511,-68.9139,268,2025-03-07T15:47:40,2025-03-10T04:53:18.580313,7.7,173.8,91.1,0.5,1.8,59
WE00030,Fog,MEDIUM,36.0442,-97.6183,131,2024-08-29T12:41:45,2024-08-31T23:28:49.510247,12.0,78.9,169.1,0.0,1.51,41
WE00031,Thunderstorm,CRITICAL,33.3033,-99.2972,515,2024-11-30T11:28:43,2024-12-03T05:31:46.424546,-17.1,182.9,80.1,0.0,3.59,294
WE00032,Fog,CRITICAL,29.5752,-79.4277,401,2025-06-06T21:09:15,2025-06-08T06:01:55.778618,14.9,134.0,65.4,0.0,4.43,373
WE00033,Extreme Wind,LOW,44.7717,-72.7401,96,2024-06-07T18:40:31,2024-06-08T21:27:20.983370,-13.3,189.1,56.1,10.0,1.2,8
WE00034,Ice,HIGH,33.037,-87.1518,376,2024-05-24T01:48:56,2024-05-25T22:21:16.823334,-19.7,190.5,124.8,0.0,2.23,211
WE00035,Fog,HIGH,44.8874,-85.2259,276,2025-08-13T04:42:59,2025-08-14T04:48:18.765916,-11.2,122.1,105.9,1.4,2.96,183
WE00036,Thunderstorm,HIGH,30.3551,-96.3498,255,2024-05-30T05:50:52,2024-05-30T15:36:17.680522,-12.7,137.9,71.0,0.7,2.59,155
WE00037,Extreme Wind,MEDIUM,32.2807,-82.5415,255,2025-07-11T15:43:16,2025-07-13T20:47:45.916125,-14.3,68.4,193.6,2.1,1.87,39
WE00038,Extreme Wind,HIGH,39.9088,-75.2139,460,2025-06-18T07:35:55,2025-06-20T01:49:46.448568,-9.5,150.3,16.5,1.0,2.56,128
WE00039,Ice,MEDIUM,31.8858,-98.5656,220,2025-02-14T22:03:09,2025-02-16T12:06:52.661229,9.1,144.8,58.4,5.9,1.55,71
WE00040,Thunderstorm,LOW,37.6297,-98.3455,69,2024-03-08T11:56:59,2024-03-09T22:26:32.015862,-11.9,28.6,154.9,0.8,1.38,17
WE00041,Extreme Heat,LOW,36.9029,-108.1718,110,2025-12-14T16:36:03,2025-12-16T20:06:49.036224,21.4,198.7,59.7,1.1,1.04,17
